City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,betafo,-19.8333,46.85,17.68,95,100,2.62,MG,1742152918
349,tursunzoda,38.5144,68.2333,12.77,50,15,2.23,TJ,1742152828
350,ghanzi,-21.5667,21.7833,23.94,58,74,3.01,BW,1742152920
351,saint-joseph,-21.3667,55.6167,28.21,81,88,3.27,RE,1742152921
352,fuglafjordur,62.244,-6.814,5.6,89,87,3.46,FO,1742152922
353,lashio,22.9333,97.75,17.37,40,0,0.78,MM,1742152924
354,along,28.1667,94.7667,14.75,96,99,0.26,IN,1742152927
355,puerto santa,-8.9906,-78.6456,24.22,75,96,5.06,PE,1742152929
356,miguel ahumada,30.6167,-106.5167,15.4,20,78,1.93,MX,1742152931
357,puerto armuelles,8.2833,-82.8667,29.49,64,56,3.58,PA,1742152933
358,bernardo de irigoyen,-26.2552,-53.6458,29.62,32,0,0.84,AR,1742152935
359,vyaz'ma,55.2104,34.2951,-0.67,69,99,3.38,RU,1742152936
360,lompoc,34.6391,-120.4579,17.3,69,0,3.6,US,1742152938
361,harar,9.3094,42.1258,19.8,35,9,1.82,ET,1742152941
362,acarau,-2.8856,-40.12,28.39,75,42,4.13,BR,1742152943
